ModelID,Scenario,seed,Global.Power,Conjunctive.Power,Disjunctive.Power,FWER,CI_95perc_Global.Power,CI_95perc_Conjunctive.Power,CI_95perc_Disjunctive.Power,CI_95perc_FWER,StagewiseRejection_Count,StagewiseRejection_Percentage,HoursTaken,Input,Method,SampleSize,alpha,TestStatCont,CommonStdDev,TestStatBin,FWERControl,nArms,nEps,lEpType,Arms.Mean,Arms.std.dev,Arms.Prop,Arms.alloc.ratio,EP.Corr,WI,G,test.type,info_frac,typeOfDesign,MultipleWinners,Selection,SelectionLook,SelectEndPoint,SelectionScale,SelectionCriterion,SelectionParmeter,KeepAssosiatedEps,ImplicitSSR,nSimulation,nSimulation_Stage2,Seed2,SummaryStat,plotGraphs,Parallel,UseCC,Matching.Pair,Test.Set,Compare.Set
9,"No sel, Param, SS=600, all props=0.4, lk1=0.75, no CC",64564,0.0293275,0,0,0.0293275,"(0.02686,0.03179)","(0,0)","(0,0)","(0.02686,0.03179)","138,158","0.0138,0.0158",0.488172556,>>>,CER,600,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.75,1)",asOF,FALSE,FALSE,NA,NA,NA,NA,NA,NA,None,10000,1000,64564,TRUE,FALSE,TRUE,FALSE,1,Orig,2
11,"Fut=0.5, Param, SS=600, all props=0.4, SSR=None, lk1=0.75, no CC",11111,0.0264368,0,0,0.0264368,"(0.0242,0.02868)","(0,0)","(0,0)","(0.0242,0.02868)","109,148","0.0109,0.0148",0.318224146,>>>,CER,600,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.75,1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.5,FALSE,None,10000,1000,11111,TRUE,FALSE,TRUE,FALSE,0,0,6
12,"Fut=0.75, no CC, Param, SS=600, all props=0.4, SSR=Sel, lk1=0.75, no CC",343,0.0280617,0,0,0.0280617,"(0.02571,0.03041)","(0,0)","(0,0)","(0.02571,0.03041)","121,148","0.0121,0.0148",0.408691672,>>>,CER,600,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.75,1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.75,TRUE,Selection,10000,1000,343,TRUE,FALSE,TRUE,FALSE,2,Orig,8
13,"Fut=0.5, Param, SS=600, all props=0.4, SSR=Sel, lk1=0.75, no CC",84234,0.0262318,0,0,0.0262318,"(0.02404,0.02843)","(0,0)","(0,0)","(0.02404,0.02843)","101,170","0.0101,0.017",0.319919924,>>>,CER,600,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.75,1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.5,TRUE,Selection,10000,1000,84234,TRUE,FALSE,TRUE,FALSE,0,0,6
14,"Fut=0.25, Param, SS=600, all props=0.4, SSR=Sel, lk1=0.75, no CC",4346,0.0275389,0,0,0.0275389,"(0.02523,0.02985)","(0,0)","(0,0)","(0.02523,0.02985)","114,150","0.0114,0.015",0.184278064,>>>,CER,600,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.75,1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.25,TRUE,Selection,10000,1000,4346,TRUE,FALSE,TRUE,FALSE,3,Orig,4
15,"Sel Best=1, Param, SS=600, all props=0.4, SSR=Sel, lk1=0.75, no CC",9504,0.0266024,0,0,0.0266024,"(0.02433,0.02887)","(0,0)","(0,0)","(0.02433,0.02887)","112,153","0.0112,0.0153",0.403226337,>>>,CER,600,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.75,1)",asOF,FALSE,TRUE,1,1,pvalue,best,1,TRUE,Selection,10000,1000,9504,TRUE,FALSE,TRUE,FALSE,0,0,10
16,"Sel Best=2, Param, SS=600, all props=0.4, SSR=Sel, lk1=0.75, no CC",2300,0.0285122,0,0,0.0285122,"(0.02616,0.03087)","(0,0)","(0,0)","(0.02616,0.03087)","119,165","0.0119,0.0165",0.481469522,>>>,CER,600,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.75,1)",asOF,FALSE,TRUE,1,1,pvalue,best,2,TRUE,Selection,10000,1000,2300,TRUE,FALSE,TRUE,FALSE,4,Orig,12
17,"No sel, Param, SS=400, all props=0.4, lk1=0.5, no CC",97827,0.0277034,0,0,0.0277034,"(0.02631,0.02909)","(0,0)","(0,0)","(0.02631,0.02909)","17,252","0.0017,0.0252",0.499078049,>>>,CER,400,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,FALSE,NA,NA,NA,NA,NA,NA,None,10000,1000,97827,TRUE,FALSE,TRUE,FALSE,0,0,1
18,"Sel Best=1, Param, SS=400, all props=0.4, SSR=None, lk1=0.5, no CC",70743,0.0268757,0,0,0.0268757,"(0.0255,0.02825)","(0,0)","(0,0)","(0.0255,0.02825)","18,232","0.0018,0.0232",0.407735505,>>>,CER,400,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,TRUE,1,1,delta,best,1,FALSE,None,10000,1000,70743,TRUE,FALSE,TRUE,FALSE,0,0,9
19,"Fut=0.5, Param, SS=400, all props=0.4, SSR=None, lk1=0.5, no CC",2402,0.0280466,0,0,0.0280466,"(0.02657,0.02952)","(0,0)","(0,0)","(0.02657,0.02952)","26,255","0.0026,0.0255",0.319244276,>>>,CER,400,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.5,FALSE,None,10000,1000,2402,TRUE,FALSE,TRUE,FALSE,5,Orig,5
