Sim_Index,Return_Code,Mean_0_Endpoint1,Mean_1_Endpoint1,Delta_1_Endpoint1,StdError_1_Endpoint1,Test_Stat_1_Endpoint1,pval_1_Endpoint1,Mean_0_Endpoint2,Mean_1_Endpoint2,Delta_1_Endpoint2,StdError_1_Endpoint2,Test_Stat_1_Endpoint2,pval_1_Endpoint2,Mean_0_Endpoint3,Mean_1_Endpoint3,Delta_1_Endpoint3,StdError_1_Endpoint3,Test_Stat_1_Endpoint3,pval_1_Endpoint3,Adjpval_1,Adjpval_2,Adjpval_3,Adjpval,SampleSize_0,SampleSize_1,Tot_SampleSize,RejFlag_1_Endpoint1,RejFlag_1_Endpoint2,RejFlag_1_Endpoint3,IsNonNull_1_Endpoint1,IsNonNull_1_Endpoint2,IsNonNull_1_Endpoint3,FWERFlag,DisjnPowFlag,ConPowFlag
1,0,-0.0103955472610171,0.0159050201343191,0.0263005673953362,0.0122205093686233,2.15216621517137,0.0169201909472705,-0.014962629933922,0.025363901775943,0.040326531709865,0.00893425305688808,4.51369929339244,8.872174388941E-06,-0.00997342157942811,0.0206094322612111,0.0305828538406392,0.0299145672686104,1.02233983751221,0.154568578907673,0.033840381894541,2.6616523166823E-05,0.154568578907673,0.154568578907673,50,50,100,0,1,0,1,1,1,0,0,1
2,0,0.00498831658447566,-0.000904564643715559,-0.00589288122819122,0.0107873152037276,-0.54627876509578,0.70694206526146,-0.00428608551650893,0.00989518145012429,0.0141812669666332,0.00883746543674305,1.6046758053132,0.0558915541017626,-0.0148356153793757,-0.020714591823966,-0.00587897644459034,0.0305391562436709,-0.192506184443414,0.576127956593677,1,0.167674662305288,1,1,50,50,100,0,0,0,1,1,1,0,0,0
3,0,0.00138377919510481,-0.00955027454262564,-0.0109340537377304,0.0121531995702393,-0.899685196029011,0.814753385824819,-0.00264815851131242,-0.00175043694417144,0.000897721567140974,0.0102295797050515,0.0877574243541666,0.465124275927985,0.00322321383218849,0.0161829005434717,0.0129596867112832,0.0269313908782037,0.4812111921695,0.315719559175744,0.947158677527234,0.947158677527234,0.947158677527234,0.947158677527234,50,50,100,0,0,0,1,1,1,0,0,0
4,0,2.3168854200783E-05,0.0178552419794098,0.017832073125209,0.0108038461296811,1.65053009004075,0.0510179873626526,0.00574522151392892,0.0190372553822353,0.0132920338683064,0.00937427347146374,1.41792683014516,0.079692031199039,0.0249071907474664,0.0374507277195321,0.0125435369720657,0.0315676611258828,0.397354017519563,0.345985272021596,0.153053962087958,0.159384062398078,0.345985272021596,0.345985272021596,50,50,100,0,0,0,1,1,1,0,0,0
5,0,0.00889749494531348,0.0039520848222247,-0.00494541012308878,0.0125734726870212,-0.39332094212871,0.652531592013859,-0.00566323124653696,0.00460264905716996,0.0102658803037069,0.00813750925675849,1.26155067598611,0.105052540595126,0.0288267823945826,0.0266262354432789,-0.00220054695130367,0.0305385599785416,-0.0720579802338396,0.528648688444111,1,0.315157621785377,1,1,50,50,100,0,0,0,1,1,1,0,0,0
6,0,-0.00141433990790741,0.0248402430352927,0.0262545829432001,0.0117291041876547,2.23841331129396,0.0137284557752674,-0.00441495815547411,0.0314202990331776,0.0358352571886517,0.00898159029297238,3.98985658661038,6.3803078314883E-05,-0.0220143969230598,0.0200283322713163,0.0420427291943761,0.0316680143372224,1.32760863206252,0.0936958515476478,0.0274569115505348,0.000191409234944651,0.0936958515476479,0.0936958515476479,50,50,100,0,1,0,1,1,1,0,0,1
7,0,-0.00900675263429603,-0.00280352950778545,0.00620322312651058,0.0114411238691267,0.542186519215096,0.294460389086884,0.00519855587293702,0.0179166347229426,0.0127180788500056,0.0105003787713606,1.21120191251517,0.114365343044238,0.0213452098758273,0.0110479691487831,-0.0102972407270442,0.031819666160936,-0.323612468935511,0.626539486710676,0.588920778173768,0.343096029132714,0.626539486710676,0.626539486710676,50,50,100,0,0,0,1,1,1,0,0,0
8,0,0.0138878067624615,-0.000294830627682511,-0.014182637390144,0.0124170287068186,-1.14219252649032,0.8719215035231,0.00853311644675446,0.0109771685081872,0.00244405206143274,0.00954871122301394,0.255956223237978,0.399260566486113,-0.00153425263963166,0.0122614638060028,0.0137957164456345,0.0314265413966247,0.438982968934539,0.330820111223167,0.992460333669502,0.992460333669502,0.992460333669502,0.992460333669502,50,50,100,0,0,0,1,1,1,0,0,0
9,0,-0.00898182911085425,0.016209271608343,0.0251911007191972,0.0113006867130392,2.22916547984032,0.0140433914509464,0.00223379109317171,0.00722397421968599,0.00499018312651427,0.00939563049873908,0.53111743029741,0.298269552555019,-0.0349644912192938,0.00344746529086759,0.0384119565101614,0.028540851156265,1.34585882880124,0.0907266834180278,0.0421301743528391,0.29826955255502,0.181453366836056,0.29826955255502,50,50,100,0,0,0,1,1,1,0,0,0
10,0,-0.0125176659410112,0.0207148851452074,0.0332325510862186,0.011479617267278,2.89491803711489,0.00233786539231073,-0.0105273252894088,0.00836360204320052,0.0188909273326093,0.00855474644469873,2.20823930372779,0.0147794655432733,-0.044747920349228,0.00798700620280515,0.0527349265520332,0.0311224268764166,1.69443490899464,0.0466792017092428,0.00701359617693221,0.0295589310865465,0.0466792017092428,0.0466792017092428,50,50,100,1,0,0,1,1,1,0,0,1
