Sim_Index,Return_Code,Prop_0_Endpoint1,Prop_1_Endpoint1,Delta_1_Endpoint1,StdError_1_Endpoint1,Test_Stat_1_Endpoint1,pval_1_Endpoint1,Prop_0_Endpoint2,Prop_1_Endpoint2,Delta_1_Endpoint2,StdError_1_Endpoint2,Test_Stat_1_Endpoint2,pval_1_Endpoint2,Prop_0_Endpoint3,Prop_1_Endpoint3,Delta_1_Endpoint3,StdError_1_Endpoint3,Test_Stat_1_Endpoint3,pval_1_Endpoint3,Adjpval_1,Adjpval_2,Adjpval_3,Adjpval,SampleSize_0,SampleSize_1,Tot_SampleSize,RejFlag_1_Endpoint1,RejFlag_1_Endpoint2,RejFlag_1_Endpoint3,IsNonNull_1_Endpoint1,IsNonNull_1_Endpoint2,IsNonNull_1_Endpoint3,FWERFlag,DisjnPowFlag,ConPowFlag
1,0,0.14,0.26,0.12,0.08,1.5,0.0668072012688581,0.34,0.34,0,0.0947417542586161,0,0.5,0.4,0.48,0.08,0.0992773891679269,0.80582296402538,0.210172467516965,0.200421603806574,0.500000000000001,0.420344935033929,0.500000000000001,50,50,100,0,0,0,1,1,1,0,0,0
2,0,0.08,0.4,0.32,0.0854166260162505,3.74634324632678,8.971551875625E-05,0.2,0.48,0.28,0.0947417542586161,2.95540231644524,0.00156130781584274,0.36,0.58,0.22,0.0998198377077422,2.20397072417737,0.0137632015171794,0.000269146556268751,0.00312261563168548,0.0137632015171794,0.0137632015171794,50,50,100,1,1,1,1,1,1,0,0,1
3,0,0.12,0.44,0.32,0.0897997772825746,3.56348322549899,0.000182983045738938,0.22,0.56,0.34,0.0975499871860576,3.4853925644451,0.000245707757850377,0.34,0.5,0.16,0.0987117014340245,1.62088179694622,0.0525214957326628,0.000548949137216815,0.000548949137216815,0.0525214957326629,0.0525214957326629,50,50,100,1,1,0,1,1,1,0,0,1
4,0,0.06,0.24,0.18,0.0714142842854285,2.52050415125042,0.00585934279988432,0.24,0.42,0.18,0.09404254356407,1.91402734526601,0.0278083309093121,0.28,0.44,0.16,0.096,1.66666666666667,0.0477903522728147,0.017578028399653,0.0556166618186243,0.0556166618186243,0.0556166618186243,50,50,100,1,0,0,1,1,1,0,0,1
5,0,0.08,0.3,0.22,0.0784601809837321,2.8039700806402,0.00252387944939281,0.22,0.48,0.26,0.0953939201416946,2.72554057547699,0.00320981427071687,0.28,0.4,0.12,0.0947417542586161,1.26660099276225,0.102648998651261,0.00757163834817843,0.00757163834817843,0.102648998651261,0.102648998651261,50,50,100,1,1,0,1,1,1,0,0,1
6,0,0.08,0.26,0.18,0.0751265598839718,2.39595690629251,0.00828851957445276,0.18,0.26,0.08,0.0828492607088319,0.965609099170535,0.167119910233157,0.34,0.5,0.16,0.0987117014340245,1.62088179694622,0.0525214957326628,0.0248655587233583,0.167119910233158,0.105042991465326,0.167119910233158,50,50,100,1,0,0,1,1,1,0,0,1
7,0,0.12,0.34,0.22,0.0841665016500033,2.61386651086967,0.00447620032575946,0.18,0.38,0.2,0.0897997772825746,2.22717701593687,0.0129677227936772,0.32,0.52,0.2,0.0987117014340245,2.02610224618277,0.0213771539887607,0.0134286009772784,0.0259354455873544,0.0259354455873544,0.0259354455873544,50,50,100,1,0,0,1,1,1,0,0,1
8,0,0.08,0.34,0.26,0.0814616474176652,3.19168600491154,0.000707225027170355,0.14,0.46,0.32,0.0916515138991168,3.49148624377588,0.00024017059999093,0.24,0.44,0.2,0.0947417542586161,2.11100165460375,0.0173860848219682,0.00141445005434071,0.00072051179997279,0.0173860848219683,0.0173860848219683,50,50,100,1,1,1,1,1,1,0,0,1
9,0,0.14,0.22,0.08,0.0768374908491942,1.04115841259071,0.148901016647403,0.2,0.46,0.26,0.09404254356407,2.76470616538424,0.00284870456913311,0.38,0.5,0.12,0.0992773891679269,1.20873444603807,0.113382441762419,0.226764883524838,0.00854611370739934,0.226764883524838,0.226764883524838,50,50,100,0,1,0,1,1,1,0,0,1
10,0,0.14,0.24,0.1,0.0784601809837321,1.27453185483645,0.101237495362878,0.24,0.36,0.12,0.0916515138991168,1.30930734141595,0.0952151319127621,0.5,0.46,-0.04,0.0999199679743744,-0.400320384512718,0.65553972209777,0.285645395738287,0.285645395738287,0.65553972209777,0.65553972209777,50,50,100,0,0,0,1,1,1,0,0,0
11,0,0.02,0.34,0.32,0.0768374908491942,4.16463365036283,1.5592645231433E-05,0.12,0.42,0.3,0.0887918915216925,3.37868689199743,0.000364164540955225,0.26,0.56,0.3,0.0983666610188635,3.04981379760842,0.00114491641930736,4.6777935694298E-05,0.000728329081910451,0.00114491641930736,0.00114491641930736,50,50,100,1,1,1,1,1,1,0,0,1
12,0,0.12,0.22,0.1,0.0751265598839718,1.33108717016251,0.0915801650036761,0.26,0.52,0.26,0.0975499871860576,2.66530019634037,0.00384598124603608,0.32,0.52,0.2,0.0987117014340245,2.02610224618277,0.0213771539887607,0.0915801650036761,0.0115379437381082,0.0427543079775215,0.0915801650036761,50,50,100,0,1,0,1,1,1,0,0,1
13,0,0.1,0.32,0.22,0.0814616474176652,2.7006573887713,0.00346012927414452,0.18,0.42,0.24,0.0916515138991168,2.61861468283191,0.0044143804764093,0.18,0.54,0.36,0.096,3.75,8.8417285200815E-05,0.00692025854828905,0.00692025854828905,0.000265251855602444,0.00692025854828905,50,50,100,1,1,1,1,1,1,0,0,1
14,0,0.08,0.36,0.28,0.0828492607088319,3.37963184709687,0.000362914920031154,0.1,0.38,0.28,0.0854166260162505,3.27805034053593,0.000522633763679337,0.22,0.58,0.36,0.0979795897113271,3.67423461417477,0.000119281727014364,0.000725829840062309,0.000725829840062309,0.000357845181043093,0.000725829840062309,50,50,100,1,1,1,1,1,1,0,0,1
15,0,0.1,0.3,0.2,0.08,2.5,0.00620966532577616,0.18,0.44,0.26,0.0924986486387774,2.81085187541867,0.00247052637450829,0.32,0.48,0.16,0.0979795897113271,1.63299316185545,0.0512352174298747,0.0124193306515523,0.00741157912352487,0.0512352174298747,0.0512352174298747,50,50,100,1,1,0,1,1,1,0,0,1
16,0,0.14,0.18,0.04,0.0733212111192934,0.545544725589981,0.292689464230481,0.22,0.32,0.1,0.0887918915216925,1.12622896399914,0.13003430835418,0.28,0.52,0.24,0.0979795897113271,2.44948974278318,0.00715293921771476,0.292689464230481,0.26006861670836,0.0214588176531443,0.292689464230481,50,50,100,0,0,1,1,1,1,0,0,1
17,0,0.12,0.26,0.14,0.0784601809837321,1.78434459677104,0.03718384387469,0.26,0.34,0.08,0.0916515138991168,0.87287156094397,0.191366544442613,0.3,0.42,0.12,0.096,1.25,0.105649773666855,0.11155153162407,0.211299547333711,0.211299547333711,0.211299547333711,50,50,100,0,0,0,1,1,1,0,0,0
18,0,0.12,0.4,0.28,0.0877268487978452,3.19172526811287,0.000707128905764298,0.3,0.46,0.16,0.0970772887960928,1.64817128686066,0.0496587635690655,0.36,0.56,0.2,0.0996794863550169,2.00643088476282,0.0224051479578348,0.0021213867172929,0.0496587635690656,0.0448102959156696,0.0496587635690656,50,50,100,1,0,0,1,1,1,0,0,1
19,0,0.12,0.3,0.18,0.0814616474176652,2.20962877263106,0.0135654683700883,0.22,0.48,0.26,0.0953939201416946,2.72554057547699,0.00320981427071687,0.4,0.42,0.02,0.0983666610188635,0.203320919840561,0.419442102672059,0.0271309367401767,0.00962944281215062,0.419442102672059,0.419442102672059,50,50,100,0,1,0,1,1,1,0,0,1
20,0,0.1,0.32,0.22,0.0814616474176652,2.7006573887713,0.00346012927414452,0.24,0.52,0.28,0.0970772887960928,2.88429975200615,0.00196142578829517,0.22,0.54,0.32,0.0970772887960928,3.29634257372132,0.000489762470503474,0.00392285157659034,0.00392285157659034,0.00146928741151042,0.00392285157659034,50,50,100,1,1,1,1,1,1,0,0,1
21,0,0.14,0.32,0.18,0.0841665016500033,2.13861805434791,0.0162333070504032,0.18,0.42,0.24,0.0916515138991168,2.61861468283191,0.0044143804764093,0.26,0.64,0.38,0.099498743710662,3.81914369798501,6.6957869133688E-05,0.0162333070504032,0.0088287609528186,0.000200873607401064,0.0162333070504032,50,50,100,1,1,1,1,1,1,0,0,1
22,0,0.08,0.36,0.28,0.0828492607088319,3.37963184709687,0.000362914920031154,0.14,0.32,0.18,0.0841665016500033,2.13861805434791,0.0162333070504032,0.18,0.46,0.28,0.0932952303175248,3.00122523999391,0.00134447792257042,0.00108874476009346,0.0162333070504032,0.00268895584514084,0.0162333070504032,50,50,100,1,1,1,1,1,1,0,0,1
23,0,0.1,0.2,0.1,0.0714142842854285,1.40028008402801,0.0807147311835417,0.18,0.42,0.24,0.0916515138991168,2.61861468283191,0.0044143804764093,0.32,0.54,0.22,0.0990151503558925,2.22188219892864,0.0131456338585864,0.0807147311835417,0.0132431414292279,0.0262912677171727,0.0807147311835417,50,50,100,0,1,0,1,1,1,0,0,1
24,0,0.06,0.22,0.16,0.0693974062915899,2.30556167081694,0.0105675685337857,0.22,0.42,0.2,0.0932952303175248,2.14373231428136,0.0160271707152945,0.28,0.48,0.2,0.0970772887960928,2.06021410857582,0.019689038367209,0.0317027056013572,0.032054341430589,0.032054341430589,0.032054341430589,50,50,100,0,0,0,1,1,1,0,0,0
