Sim_Index,Return_Code,Mean_0_Endpoint1,Mean_1_Endpoint1,Delta_1_Endpoint1,StdError_1_Endpoint1,Test_Stat_1_Endpoint1,pval_1_Endpoint1,Prop_0_Endpoint2,Prop_1_Endpoint2,Delta_1_Endpoint2,StdError_1_Endpoint2,Test_Stat_1_Endpoint2,pval_1_Endpoint2,Mean_0_Endpoint3,Mean_1_Endpoint3,Delta_1_Endpoint3,StdError_1_Endpoint3,Test_Stat_1_Endpoint3,pval_1_Endpoint3,Adjpval_1,Adjpval_2,Adjpval_3,Adjpval,SampleSize_0,SampleSize_1,Tot_SampleSize,RejFlag_1_Endpoint1,RejFlag_1_Endpoint2,RejFlag_1_Endpoint3,IsNonNull_1_Endpoint1,IsNonNull_1_Endpoint2,IsNonNull_1_Endpoint3,FWERFlag,DisjnPowFlag,ConPowFlag
1,0,-0.0197851723768252,0.0253477773533765,0.0451329497302016,0.0113520925701896,3.97573834525627,6.7148385234694E-05,0.18,0.42,0.24,0.0916515138991168,2.61861468283191,0.0044143804764093,-0.00467439874805193,0.0165968971067218,0.0212712958547737,0.00948587712125685,2.24241739407598,0.0135940267469267,0.000201445155704083,0.0088287609528186,0.0135940267469267,0.0135940267469267,50,50,100,1,1,1,1,1,1,0,0,1
2,0,-0.00372212175094728,0.00387556463553128,0.00759768638647856,0.0110138236289652,0.689831855169483,0.245965131100182,0.2,0.34,0.14,0.0887918915216925,1.5767205495988,0.0574299199234405,-0.00330618098284381,0.0013797169378537,0.00468589792069751,0.0098105951501873,0.477636458233429,0.316986291322183,0.491930262200365,0.172289759770322,0.491930262200365,0.491930262200365,50,50,100,0,0,0,1,1,1,0,0,0
3,0,-0.00271443965343852,-0.0115214444083616,-0.0088070047549231,0.0127771132661816,-0.689279696551916,0.753861961348967,0.24,0.24,0,0.0854166260162505,0,0.5,0.00129008489700382,0.0110170899885209,0.00972700509151708,0.00840826483882098,1.15683857228277,0.125075205075874,1,1,0.375225615227623,1,50,50,100,0,0,0,1,1,1,0,0,0
4,0,0.00662782058935761,0.0182569545755862,0.0116291339862286,0.0117647187958205,0.988475303834709,0.162677103750472,0.16,0.5,0.34,0.09404254356407,3.61538498550246,0.000149950801395127,0.00725064103137102,0.0218737739865097,0.0146231329551387,0.0102464389360639,1.42714293681781,0.0783586079983186,0.162677103750472,0.000449852404185381,0.156717215996637,0.162677103750472,50,50,100,0,1,0,1,1,1,0,0,1
5,0,-0.00435482171739985,-0.00143817689363798,0.00291664482376187,0.0106447607407235,0.273998156915233,0.392331365560136,0.26,0.32,0.06,0.0907524104363074,0.66113946408189,0.254261439415244,0.0104344397643401,0.0162991784763582,0.00586473871201809,0.00983374538383466,0.596389115550919,0.276145225306886,0.762784318245733,0.762784318245733,0.762784318245733,0.762784318245733,50,50,100,0,0,0,1,1,1,0,0,0
6,0,-0.00543424256299864,0.0342057723658351,0.0396400149288337,0.0115267586181788,3.43895593218354,0.000429499227556196,0.24,0.5,0.26,0.0965608616365865,2.69260231933853,0.00354483888402513,-0.00670036388199762,0.0178622802398957,0.0245626441218933,0.00982267541439549,2.50060630995664,0.00702857686804814,0.00128849768266859,0.00708967776805026,0.00708967776805026,0.00708967776805026,50,50,100,1,1,1,1,1,1,0,0,1
7,0,0.00379253751072042,0.0129758437479857,0.00918330623726528,0.0127601402278163,0.719686937079758,0.236715313399328,0.16,0.32,0.16,0.0854166260162505,1.87317162316339,0.0305223447529946,0.00441594047123412,0.0107764304313207,0.00636048996008654,0.00993832849007515,0.639995947652405,0.261834339862802,0.473430626798657,0.091567034258984,0.473430626798657,0.473430626798657,50,50,100,0,0,0,1,1,1,0,0,0
8,0,0.0132271048868594,0.00526900332327118,-0.00795810156358825,0.012280014295307,-0.648053118849346,0.740766966022451,0.28,0.28,0,0.0897997772825746,0,0.5,0.00210620176909567,0.011421309186244,0.0093151074171483,0.0100832151294368,0.923823135534807,0.178923742879627,1,1,0.536771228638882,1,50,50,100,0,0,0,1,1,1,0,0,0
9,0,0.00038132247469185,0.00400351955992512,0.00362219708523327,0.0116998047074884,0.30959466211559,0.378763271314161,0.18,0.38,0.2,0.0897997772825746,2.22717701593687,0.0129677227936772,-0.0121906097688695,0.0112104934757599,0.0234011032446293,0.00918887509670664,2.54667769431499,0.0062159905388901,0.378763271314162,0.0259354455873544,0.0186479716166703,0.378763271314162,50,50,100,0,0,1,1,1,1,0,0,1
10,0,-0.0151911076750964,0.00621155168265966,0.0214026593577561,0.0109512863996539,1.95435116722292,0.0267548439400425,0.16,0.38,0.22,0.0887918915216925,2.47770372079812,0.00661154485112425,-0.0154977719412707,0.0132765976374775,0.0287743695787481,0.00992652135863434,2.89873647969532,0.00231183588650596,0.0267548439400425,0.0132230897022485,0.0069355076595179,0.0267548439400425,50,50,100,0,1,1,1,1,1,0,0,1
