Level1,Level2,Method,ModelID
S1,Conservative,PVcombo,1
S1,Conservative,CER,2
S1,Normal,PVcombo,3
S1,Normal,CER,4
S1,Aggressive,PVcombo,5
S1,Aggressive,CER,6
S1,Ultra,PVcombo,7
S1,Ultra,CER,8
S2,Conservative,PVcombo,9
S2,Conservative,CER,10
S2,Normal,PVcombo,11
S2,Normal,CER,12
S2,Aggressive,PVcombo,13
S2,Aggressive,CER,14
S2,Ultra,PVcombo,15
S2,Ultra,CER,16
S3,Conservative,PVcombo,17
S3,Conservative,CER,18
S3,Normal,PVcombo,19
S3,Normal,CER,20
S3,Aggressive,PVcombo,21
S3,Aggressive,CER,22
S3,Ultra,PVcombo,23
S3,Ultra,CER,24
S4,Conservative,PVcombo,25
S4,Conservative,CER,26
S4,Normal,PVcombo,27
S4,Normal,CER,28
S4,Aggressive,PVcombo,29
S4,Aggressive,CER,30
S4,Ultra,PVcombo,31
S4,Ultra,CER,32
Emax1,Conservative,PVcombo,33
Emax1,Conservative,CER,34
Emax1,Normal,PVcombo,35
Emax1,Normal,CER,36
Emax1,Aggressive,PVcombo,37
Emax1,Aggressive,CER,38
Emax1,Ultra,PVcombo,39
Emax1,Ultra,CER,40
Emax2,Conservative,PVcombo,41
Emax2,Conservative,CER,42
Emax2,Normal,PVcombo,43
Emax2,Normal,CER,44
Emax2,Aggressive,PVcombo,45
Emax2,Aggressive,CER,46
Emax2,Ultra,PVcombo,47
Emax2,Ultra,CER,48
