ModelID,Scenario,Method,SampleSize,alpha,TestStatCont,CommonStdDev,TestStatBin,FWERControl,nArms,nEps,lEpType,Arms.Mean,Arms.std.dev,Arms.Prop,Arms.alloc.ratio,EP.Corr,WI,G,test.type,info_frac,typeOfDesign,MultipleWinners,Selection,SelectionLook,SelectEndPoint,SelectionScale,SelectionCriterion,SelectionParmeter,KeepAssosiatedEps,ImplicitSSR,nSimulation,Seed,SummaryStat,plotGraphs,Parallel
1,S1,CombPValue,100,0.025,t-equal,FALSE,UnPooled,None,5,2,"list('EP1' = 'Continuous','EP2'='Binary')","list('EP1' = c(0,0,0,0, 0.4), 'EP2' = NA)","list('EP1' = c(1,1,1, 1, 1), 'EP2' = NA)","list('EP1'=NA, 'EP2' =c(0.1,0.1,0.1,0.1,0.4))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
         0,0,0,0,0,1,0,0,
         0,0,0,0,0,0,1,0,
         0,0,0,0,0,0,0,1,
         0,1/3,1/3,1/3,0,0,0,0,
         1/3,0,1/3,1/3,0,0,0,0,
         1/3,1/3,0,1/3,0,0,0,0,
         1/3,1/3,1/3,0,0,0,0,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,-0.6745,TRUE,Selection,100,100,FALSE,FALSE,FALSE
2,S1,CER,100,0.025,t-equal,FALSE,UnPooled,None,5,2,"list('EP1' = 'Continuous','EP2'='Binary')","list('EP1' = c(0,0,0,0, 0.4), 'EP2' = NA)","list('EP1' = c(1,1,1, 1, 1), 'EP2' = NA)","list('EP1'=NA, 'EP2' =c(0.1,0.1,0.1,0.1,0.4))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
         0,0,0,0,0,1,0,0,
         0,0,0,0,0,0,1,0,
         0,0,0,0,0,0,0,1,
         0,1/3,1/3,1/3,0,0,0,0,
         1/3,0,1/3,1/3,0,0,0,0,
         1/3,1/3,0,1/3,0,0,0,0,
         1/3,1/3,1/3,0,0,0,0,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,-0.6745,TRUE,Selection,100,100,FALSE,FALSE,FALSE
3,S1,CombPValue,100,0.025,t-equal,FALSE,UnPooled,None,5,2,"list('EP1' = 'Continuous','EP2'='Binary')","list('EP1' = c(0,0,0,0, 0.4), 'EP2' = NA)","list('EP1' = c(1,1,1, 1, 1), 'EP2' = NA)","list('EP1'=NA, 'EP2' =c(0.1,0.1,0.1,0.1,0.4))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
         0,0,0,0,0,1,0,0,
         0,0,0,0,0,0,1,0,
         0,0,0,0,0,0,0,1,
         0,1/3,1/3,1/3,0,0,0,0,
         1/3,0,1/3,1/3,0,0,0,0,
         1/3,1/3,0,1/3,0,0,0,0,
         1/3,1/3,1/3,0,0,0,0,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,0,TRUE,Selection,100,100,FALSE,FALSE,FALSE
4,S1,CER,100,0.025,t-equal,FALSE,UnPooled,None,5,2,"list('EP1' = 'Continuous','EP2'='Binary')","list('EP1' = c(0,0,0,0, 0.4), 'EP2' = NA)","list('EP1' = c(1,1,1, 1, 1), 'EP2' = NA)","list('EP1'=NA, 'EP2' =c(0.1,0.1,0.1,0.1,0.4))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
         0,0,0,0,0,1,0,0,
         0,0,0,0,0,0,1,0,
         0,0,0,0,0,0,0,1,
         0,1/3,1/3,1/3,0,0,0,0,
         1/3,0,1/3,1/3,0,0,0,0,
         1/3,1/3,0,1/3,0,0,0,0,
         1/3,1/3,1/3,0,0,0,0,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,0,TRUE,Selection,100,100,FALSE,FALSE,FALSE
5,S1,CombPValue,100,0.025,t-equal,FALSE,UnPooled,None,5,2,"list('EP1' = 'Continuous','EP2'='Binary')","list('EP1' = c(0,0,0,0, 0.4), 'EP2' = NA)","list('EP1' = c(1,1,1, 1, 1), 'EP2' = NA)","list('EP1'=NA, 'EP2' =c(0.1,0.1,0.1,0.1,0.4))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
         0,0,0,0,0,1,0,0,
         0,0,0,0,0,0,1,0,
         0,0,0,0,0,0,0,1,
         0,1/3,1/3,1/3,0,0,0,0,
         1/3,0,1/3,1/3,0,0,0,0,
         1/3,1/3,0,1/3,0,0,0,0,
         1/3,1/3,1/3,0,0,0,0,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,0.6745,TRUE,Selection,100,100,FALSE,FALSE,FALSE
6,S1,CER,100,0.025,t-equal,FALSE,UnPooled,None,5,2,"list('EP1' = 'Continuous','EP2'='Binary')","list('EP1' = c(0,0,0,0, 0.4), 'EP2' = NA)","list('EP1' = c(1,1,1, 1, 1), 'EP2' = NA)","list('EP1'=NA, 'EP2' =c(0.1,0.1,0.1,0.1,0.4))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
         0,0,0,0,0,1,0,0,
         0,0,0,0,0,0,1,0,
         0,0,0,0,0,0,0,1,
         0,1/3,1/3,1/3,0,0,0,0,
         1/3,0,1/3,1/3,0,0,0,0,
         1/3,1/3,0,1/3,0,0,0,0,
         1/3,1/3,1/3,0,0,0,0,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,0.6745,TRUE,Selection,100,100,FALSE,FALSE,FALSE
7,S1,CombPValue,100,0.025,t-equal,FALSE,UnPooled,None,5,2,"list('EP1' = 'Continuous','EP2'='Binary')","list('EP1' = c(0,0,0,0, 0.4), 'EP2' = NA)","list('EP1' = c(1,1,1, 1, 1), 'EP2' = NA)","list('EP1'=NA, 'EP2' =c(0.1,0.1,0.1,0.1,0.4))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
         0,0,0,0,0,1,0,0,
         0,0,0,0,0,0,1,0,
         0,0,0,0,0,0,0,1,
         0,1/3,1/3,1/3,0,0,0,0,
         1/3,0,1/3,1/3,0,0,0,0,
         1/3,1/3,0,1/3,0,0,0,0,
         1/3,1/3,1/3,0,0,0,0,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,best,1,TRUE,Selection,100,100,FALSE,FALSE,FALSE
8,S1,CER,100,0.025,t-equal,FALSE,UnPooled,None,5,2,"list('EP1' = 'Continuous','EP2'='Binary')","list('EP1' = c(0,0,0,0, 0.4), 'EP2' = NA)","list('EP1' = c(1,1,1, 1, 1), 'EP2' = NA)","list('EP1'=NA, 'EP2' =c(0.1,0.1,0.1,0.1,0.4))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
         0,0,0,0,0,1,0,0,
         0,0,0,0,0,0,1,0,
         0,0,0,0,0,0,0,1,
         0,1/3,1/3,1/3,0,0,0,0,
         1/3,0,1/3,1/3,0,0,0,0,
         1/3,1/3,0,1/3,0,0,0,0,
         1/3,1/3,1/3,0,0,0,0,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,best,1,TRUE,Selection,100,100,FALSE,FALSE,FALSE
9,S2,CombPValue,100,0.025,t-equal,FALSE,UnPooled,None,5,2,"list('EP1' = 'Continuous','EP2'='Binary')","list('EP1' = c(0,0,0,0.4, 0.4), 'EP2' = NA)","list('EP1' = c(1,1,1, 1, 1), 'EP2' = NA)","list('EP1'=NA, 'EP2' =c(0.1,0.1,0.1,0.4,0.4))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
         0,0,0,0,0,1,0,0,
         0,0,0,0,0,0,1,0,
         0,0,0,0,0,0,0,1,
         0,1/3,1/3,1/3,0,0,0,0,
         1/3,0,1/3,1/3,0,0,0,0,
         1/3,1/3,0,1/3,0,0,0,0,
         1/3,1/3,1/3,0,0,0,0,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,-0.6745,TRUE,Selection,100,100,FALSE,FALSE,FALSE
10,S2,CER,100,0.025,t-equal,FALSE,UnPooled,None,5,2,"list('EP1' = 'Continuous','EP2'='Binary')","list('EP1' = c(0,0,0,0.4, 0.4), 'EP2' = NA)","list('EP1' = c(1,1,1, 1, 1), 'EP2' = NA)","list('EP1'=NA, 'EP2' =c(0.1,0.1,0.1,0.4,0.4))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
         0,0,0,0,0,1,0,0,
         0,0,0,0,0,0,1,0,
         0,0,0,0,0,0,0,1,
         0,1/3,1/3,1/3,0,0,0,0,
         1/3,0,1/3,1/3,0,0,0,0,
         1/3,1/3,0,1/3,0,0,0,0,
         1/3,1/3,1/3,0,0,0,0,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,-0.6745,TRUE,Selection,100,100,FALSE,FALSE,FALSE
