"TestCaseID","GlobalPower","ConjunctivePower","DisjunctivePower","FWER","Seed","ElapsedTime"
1,0.533,0.135,0.533,0,100,33.4274249076843
2,0.714,0.005,0.714,0,100,31.8084170818329
3,0.547,0.136,0.547,0,100,34.5303320884705
4,0.727,0.005,0.727,0,100,30.8747749328613
5,0.589,0.148,0.589,0,100,33.9867401123047
6,0.738,0.005,0.738,0,100,21.979015827179
7,0.578,0.139,0.578,0,100,34.6406610012054
8,0.745,0.005,0.745,0,100,27.8278870582581
9,0.542,0.136,0.542,0,100,27.9499380588531
10,0.72,0.005,0.72,0,100,23.6166069507599
