ModelID,Scenario,SelectionRule,Method,SampleSize,alpha,TestStatCont,CommonStdDev,TestStatBin,FWERControl,nArms,nEps,lEpType,Arms.Mean,Arms.std.dev,Arms.Prop,Arms.alloc.ratio,EP.Corr,WI,G,test.type,info_frac,typeOfDesign,MultipleWinners,Selection,SelectionLook,SelectEndPoint,SelectionScale,SelectionCriterion,SelectionParmeter,KeepAssosiatedEps,ImplicitSSR,nSimulation,Seed,SummaryStat,plotGraphs,Parallel
1,"Binary,CombPValue,UnPooled",Conservative,CombPValue,200,0.025,,FALSE,UnPooled,None,5,2,"list(EP1=""Binary"",""EP2""=""Binary"")",NA,NA,"list('EP1' = c(0.1,0.1,0.1,0.1,0.1),'EP2' = c(0.2,0.2,0.2,0.2,0.2))","c(1,1,1,1,1)","matrix(c(1,0.8,0.8,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,-0.6745,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
2,"Binary,CombPValue,UnPooled",Normal,CombPValue,200,0.025,,FALSE,UnPooled,None,5,2,"list(EP1=""Binary"",""EP2""=""Binary"")",NA,NA,"list('EP1' = c(0.1,0.1,0.1,0.1,0.1),'EP2' = c(0.2,0.2,0.2,0.2,0.2))","c(1,1,1,1,1)","matrix(c(1,0.8,0.8,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,0,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
3,"Binary,CombPValue,UnPooled",Aggressive,CombPValue,200,0.025,,FALSE,UnPooled,None,5,2,"list(EP1=""Binary"",""EP2""=""Binary"")",NA,NA,"list('EP1' = c(0.1,0.1,0.1,0.1,0.1),'EP2' = c(0.2,0.2,0.2,0.2,0.2))","c(1,1,1,1,1)","matrix(c(1,0.8,0.8,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,0.6745,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
4,"Binary,CombPValue,UnPooled",Ultra-Aggressive,CombPValue,200,0.025,,FALSE,UnPooled,None,5,2,"list(EP1=""Binary"",""EP2""=""Binary"")",NA,NA,"list('EP1' = c(0.1,0.1,0.1,0.1,0.1),'EP2' = c(0.2,0.2,0.2,0.2,0.2))","c(1,1,1,1,1)","matrix(c(1,0.8,0.8,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,best,1,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
5,"Binary,CER,UnPooled",Conservative,CER,200,0.025,,FALSE,UnPooled,None,5,2,"list(EP1=""Binary"",""EP2""=""Binary"")",NA,NA,"list('EP1' = c(0.1,0.1,0.1,0.1,0.1),'EP2' = c(0.2,0.2,0.2,0.2,0.2))","c(1,1,1,1,1)","matrix(c(1,0.8,0.8,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,-0.6745,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
6,"Binary,CER,UnPooled",Normal,CER,200,0.025,,FALSE,UnPooled,None,5,2,"list(EP1=""Binary"",""EP2""=""Binary"")",NA,NA,"list('EP1' = c(0.1,0.1,0.1,0.1,0.1),'EP2' = c(0.2,0.2,0.2,0.2,0.2))","c(1,1,1,1,1)","matrix(c(1,0.8,0.8,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,0,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
7,"Binary,CER,UnPooled",Aggressive,CER,200,0.025,,FALSE,UnPooled,None,5,2,"list(EP1=""Binary"",""EP2""=""Binary"")",NA,NA,"list('EP1' = c(0.1,0.1,0.1,0.1,0.1),'EP2' = c(0.2,0.2,0.2,0.2,0.2))","c(1,1,1,1,1)","matrix(c(1,0.8,0.8,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,0.6745,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
8,"Binary,CER,UnPooled",Ultra-Aggressive,CER,200,0.025,,FALSE,UnPooled,None,5,2,"list(EP1=""Binary"",""EP2""=""Binary"")",NA,NA,"list('EP1' = c(0.1,0.1,0.1,0.1,0.1),'EP2' = c(0.2,0.2,0.2,0.2,0.2))","c(1,1,1,1,1)","matrix(c(1,0.8,0.8,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,best,1,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
9,"Binary,CombPValue,UnPooled",Conservative,CombPValue,200,0.025,,FALSE,UnPooled,None,5,2,"list(EP1=""Binary"",""EP2""=""Binary"")",NA,NA,"list('EP1' = c(0.1,0.1,0.1,0.1,0.1),'EP2' = c(0.2,0.2,0.2,0.2,0.2))","c(1,1,1,1,1)","matrix(c(1,0,0,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,-0.6745,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
10,"Binary,CombPValue,UnPooled",Normal,CombPValue,200,0.025,,FALSE,UnPooled,None,5,2,"list(EP1=""Binary"",""EP2""=""Binary"")",NA,NA,"list('EP1' = c(0.1,0.1,0.1,0.1,0.1),'EP2' = c(0.2,0.2,0.2,0.2,0.2))","c(1,1,1,1,1)","matrix(c(1,0,0,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,0,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
11,"Binary,CombPValue,UnPooled",Aggressive,CombPValue,200,0.025,,FALSE,UnPooled,None,5,2,"list(EP1=""Binary"",""EP2""=""Binary"")",NA,NA,"list('EP1' = c(0.1,0.1,0.1,0.1,0.1),'EP2' = c(0.2,0.2,0.2,0.2,0.2))","c(1,1,1,1,1)","matrix(c(1,0,0,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,0.6745,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
12,"Binary,CombPValue,UnPooled",Ultra-Aggressive,CombPValue,200,0.025,,FALSE,UnPooled,None,5,2,"list(EP1=""Binary"",""EP2""=""Binary"")",NA,NA,"list('EP1' = c(0.1,0.1,0.1,0.1,0.1),'EP2' = c(0.2,0.2,0.2,0.2,0.2))","c(1,1,1,1,1)","matrix(c(1,0,0,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,best,1,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
13,"Binary,CER,UnPooled",Conservative,CER,200,0.025,,FALSE,UnPooled,None,5,2,"list(EP1=""Binary"",""EP2""=""Binary"")",NA,NA,"list('EP1' = c(0.1,0.1,0.1,0.1,0.1),'EP2' = c(0.2,0.2,0.2,0.2,0.2))","c(1,1,1,1,1)","matrix(c(1,0,0,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,0,0,0,1,0,0,0,
              0,0,0,0,0,1,0,0,
              0,0,0,0,0,0,1,0,
              0,0,0,0,0,0,0,1,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,-0.6745,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
