ModelID,Scenario,SelectionRule,Method,SampleSize,alpha,TestStatCont,CommonStdDev,TestStatBin,FWERControl,nArms,nEps,lEpType,Arms.Mean,Arms.std.dev,Arms.Prop,Arms.alloc.ratio,EP.Corr,WI,G,test.type,info_frac,typeOfDesign,MultipleWinners,Selection,SelectionLook,SelectEndPoint,SelectionScale,SelectionCriterion,SelectionParmeter,KeepAssosiatedEps,ImplicitSSR,nSimulation,Seed,SummaryStat,plotGraphs,Parallel
1,"Normal,CombPValue,t-equal",Conservative,CombPValue,500,0.025,t-equal,FALSE,,None,5,1,"list(EP1=""Continuous"")","list('EP1' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5))",NA,"c(1,1,1,1,1)",NA,"c(0.25,0.25,0.25,0.25)","matrix(c(0,1/3,1/3,1/3,
         1/3,0,1/3,1/3,
         1/3,1/3,0,1/3,
         1/3,1/3,1/3,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,-1.011735,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
2,"Normal,CombPValue,t-equal",Normal,CombPValue,500,0.025,t-equal,FALSE,,None,5,1,"list(EP1=""Continuous"")","list('EP1' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5))",NA,"c(1,1,1,1,1)",NA,"c(0.25,0.25,0.25,0.25)","matrix(c(0,1/3,1/3,1/3,
         1/3,0,1/3,1/3,
         1/3,1/3,0,1/3,
         1/3,1/3,1/3,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,0,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
3,"Normal,CombPValue,t-equal",Aggressive,CombPValue,500,0.025,t-equal,FALSE,,None,5,1,"list(EP1=""Continuous"")","list('EP1' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5))",NA,"c(1,1,1,1,1)",NA,"c(0.25,0.25,0.25,0.25)","matrix(c(0,1/3,1/3,1/3,
         1/3,0,1/3,1/3,
         1/3,1/3,0,1/3,
         1/3,1/3,1/3,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,1.011735,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
4,"Normal,CombPValue,t-equal",Utra-Aggressive,CombPValue,500,0.025,t-equal,FALSE,,None,5,1,"list(EP1=""Continuous"")","list('EP1' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5))",NA,"c(1,1,1,1,1)",NA,"c(0.25,0.25,0.25,0.25)","matrix(c(0,1/3,1/3,1/3,
         1/3,0,1/3,1/3,
         1/3,1/3,0,1/3,
         1/3,1/3,1/3,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,best,1,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
5,"Normal,CER,t-equal",Conservative,CER,500,0.025,t-equal,FALSE,,None,5,1,"list(EP1=""Continuous"")","list('EP1' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5))",NA,"c(1,1,1,1,1)",NA,"c(0.25,0.25,0.25,0.25)","matrix(c(0,1/3,1/3,1/3,
         1/3,0,1/3,1/3,
         1/3,1/3,0,1/3,
         1/3,1/3,1/3,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,-1.011735,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
6,"Normal,CER,t-equal",Normal,CER,500,0.025,t-equal,FALSE,,None,5,1,"list(EP1=""Continuous"")","list('EP1' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5))",NA,"c(1,1,1,1,1)",NA,"c(0.25,0.25,0.25,0.25)","matrix(c(0,1/3,1/3,1/3,
         1/3,0,1/3,1/3,
         1/3,1/3,0,1/3,
         1/3,1/3,1/3,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,0,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
7,"Normal,CER,t-equal",Aggressive,CER,500,0.025,t-equal,FALSE,,None,5,1,"list(EP1=""Continuous"")","list('EP1' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5))",NA,"c(1,1,1,1,1)",NA,"c(0.25,0.25,0.25,0.25)","matrix(c(0,1/3,1/3,1/3,
         1/3,0,1/3,1/3,
         1/3,1/3,0,1/3,
         1/3,1/3,1/3,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,1.011735,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
8,"Normal,CER,t-equal",Utra-Aggressive,CER,500,0.025,t-equal,FALSE,,None,5,1,"list(EP1=""Continuous"")","list('EP1' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5))",NA,"c(1,1,1,1,1)",NA,"c(0.25,0.25,0.25,0.25)","matrix(c(0,1/3,1/3,1/3,
         1/3,0,1/3,1/3,
         1/3,1/3,0,1/3,
         1/3,1/3,1/3,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,best,1,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
9,"Normal,CombPValue,t-unequal",Conservative,CombPValue,500,0.025,t-unequal,FALSE,,None,5,1,"list(EP1=""Continuous"")","list('EP1' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5))",NA,"c(1,1,1,1,1)",NA,"c(0.25,0.25,0.25,0.25)","matrix(c(0,1/3,1/3,1/3,
         1/3,0,1/3,1/3,
         1/3,1/3,0,1/3,
         1/3,1/3,1/3,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,-1.011735,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
10,"Normal,CombPValue,t-unequal",Normal,CombPValue,500,0.025,t-unequal,FALSE,,None,5,1,"list(EP1=""Continuous"")","list('EP1' = c(0,0,0,0,0))","list('EP1' = c(1.1,1.2,1.3, 1.4, 1.5))",NA,"c(1,1,1,1,1)",NA,"c(0.25,0.25,0.25,0.25)","matrix(c(0,1/3,1/3,1/3,
         1/3,0,1/3,1/3,
         1/3,1/3,0,1/3,
         1/3,1/3,1/3,0),
         nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,teststat,threshold,0,TRUE,Selection,10000,100,FALSE,FALSE,TRUE
